,Human Longitude,Human Latitude,Human Acres Burned
14818,-123.62274,42.20568,0.1
5200,-123.62267,42.24317,0.5
14733,-123.62255,42.2044,0.01
9664,-123.6225,42.27889,0.03
16903,-123.6223,42.20305,0.38
15857,-123.62222,43.6175,110.0
10082,-123.62222,43.05944,0.01
10245,-123.62222,42.10389,0.01
14480,-123.62202,42.2042,0.16
9973,-123.62194,42.11278,0.1
5223,-123.62183,42.22283,0.25
14860,-123.62178,43.45642,0.01
12386,-123.62145,42.21561,0.01
10482,-123.62139,42.23639,187.0
13968,-123.62122,42.24803,0.1
11003,-123.62111,45.05778,0.25
7009,-123.62111,46.1575,0.01
11373,-123.62111,42.09778,1.0
8024,-123.62111,43.95611,0.5
148,-123.62084,43.13954,0.75
11061,-123.62083,42.10139,0.2
15231,-123.62081,42.21593,0.01
15732,-123.62079,42.1194,0.5
2302,-123.62074,44.65274,0.01
2083,-123.62068,43.99572,0.1
251,-123.62068,43.99572,0.01
15852,-123.62058,42.27058,0.01
7181,-123.62056,42.26194,2.0
15475,-123.62047,42.29122,0.01
14483,-123.62011,42.23644,1.5
14183,-123.6201,42.25614,0.01
905,-123.62007,42.05797,0.01
3140,-123.62004,42.25474,0.01
2257,-123.62004,42.25474,0.01
7509,-123.62,42.27111,0.01
6115,-123.62,45.46833,2.8
3356,-123.61998,42.55539,0.25
374,-123.61997,42.266,0.01
392,-123.61979,42.09819,1.25
10423,-123.61972,43.74,0.0
9220,-123.61972,42.12833,6.25
6899,-123.61972,42.27806,0.01
3723,-123.61963,42.11269,1.5
12611,-123.61945,42.11195,0.5
7241,-123.61917,42.275,0.01
8514,-123.61917,42.11139,0.1
14841,-123.61898,42.12965,0.24
12831,-123.61873,42.26438,0.1
13129,-123.61867,44.94303,9.0
7635,-123.61861,45.05278,0.1
16291,-123.6186,42.26178,0.02
6407,-123.61833,44.2075,2.0
6406,-123.61833,44.21139,5.0
15698,-123.61805,42.29144,0.25
2240,-123.61787,43.48801,0.1
16020,-123.6173,45.38887,0.01
16893,-123.6173,42.27847,0.1
9832,-123.61722,44.92361,0.01
7477,-123.61722,42.28306,1.0
12688,-123.61698,46.16601,0.01
15793,-123.61696,42.15582,0.1
13674,-123.61694,44.33222,0.01
12068,-123.61694,42.28056,54.0
871,-123.61692,44.32257,3.0
1378,-123.6169,45.15208,0.5
15719,-123.61661,42.13135,0.1
15794,-123.61651,42.15661,1.5
16620,-123.61643,42.13137,0.01
11348,-123.61639,42.665,0.01
1597,-123.61626,42.87011,0.25
12810,-123.61611,43.12278,0.01
6252,-123.61583,42.13472,0.25
1836,-123.61563,42.07993,0.25
13848,-123.61562,42.26002,0.01
1731,-123.61558,42.06534,2.0
9081,-123.61556,42.28417,1.8
4000,-123.6155,42.711,0.01
2039,-123.61538,43.06748,0.01
13473,-123.61533,42.28303,0.01
7790,-123.61528,42.22083,0.75
2843,-123.61522,42.20774,0.1
13383,-123.61505,42.10025,10.7
1783,-123.61499,42.56669,5.0
15747,-123.61485,42.15667,4.2
2656,-123.61484,42.2844,0.1
2511,-123.61484,42.2844,1.5
480,-123.6146,42.48581,0.75
10233,-123.61444,42.10083,4.4
15880,-123.61442,42.21258,0.01
3551,-123.61431,42.30622,0.01
16446,-123.61425,42.29487,0.01
16404,-123.6142,42.2055,0.01
14008,-123.614,46.076,35.05
11242,-123.61386,45.07619,0.04
8997,-123.61361,42.07306,0.1
12840,-123.61333,42.24998,0.01
16391,-123.61303,42.07947,0.01
6442,-123.61278,42.90639,0.01
9813,-123.61278,42.29111,0.1
12767,-123.6125,42.08855,0.01
10323,-123.61222,43.12333,0.01
9082,-123.61222,42.14806,0.01
2422,-123.612,44.07895,0.1
11367,-123.61194,42.29917,0.01
17088,-123.61189,42.29233,0.01
10153,-123.61167,42.13639,0.5
4604,-123.61167,46.125,5.0
6724,-123.61167,42.21278,69.0
10362,-123.61167,42.29917,0.01
3912,-123.61166,45.095,1.0
5753,-123.61139,43.14306,0.3
6284,-123.61112,42.11694,0.01
11065,-123.61111,42.10583,0.02
11064,-123.61111,42.0975,0.02
9810,-123.61111,42.29111,0.25
11066,-123.61083,42.10694,0.01
16579,-123.61066,45.88572,0.01
12337,-123.61065,42.05458,0.01
967,-123.61058,43.14353,0.3
14274,-123.61055,42.27202,0.01
763,-123.6104,44.04296,0.15
6012,-123.61028,45.97972,0.1
1700,-123.61019,42.13126,0.2
14180,-123.61019,42.27253,0.01
1621,-123.61007,43.06038,0.25
5345,-123.61,45.95333,0.01
6898,-123.61,42.06972,0.01
2052,-123.60986,45.07104,15.0
4353,-123.60983,42.05533,0.01
15907,-123.60982,42.13254,0.01
660,-123.60981,42.29188,0.01
8159,-123.60972,42.29167,0.01
84,-123.60962,42.30998,0.25
4506,-123.6095,42.275,0.01
4845,-123.6095,43.11967,0.01
5719,-123.60944,42.31333,2.1
1258,-123.60943,42.30636,0.01
1194,-123.60941,42.27368,0.75
12966,-123.6094,42.28007,0.01
8346,-123.60917,43.67222,0.01
16426,-123.60907,44.27744,0.01
9330,-123.60889,42.64833,26.0
9988,-123.60889,42.06222,15.15
13649,-123.60841,42.12219,0.01
14273,-123.60838,42.27208,0.01
15651,-123.60827,42.14983,0.1
16598,-123.60778,43.65167,0.1
12919,-123.60778,44.02722,0.01
8406,-123.60778,44.33806,0.01
15545,-123.60747,42.13237,0.01
12017,-123.60694,42.95778,0.01
546,-123.60675,42.89934,3.23
12026,-123.60669,45.54569,0.01
316,-123.60667,44.37286,2.0
9303,-123.60667,42.23972,0.01
5413,-123.60667,44.4855,4.0
15762,-123.60658,42.11308,0.01
10780,-123.60639,42.24,0.1
8156,-123.60611,42.30222,0.01
11724,-123.60611,42.13278,0.01
17056,-123.6061,46.16603,0.01
4495,-123.606,42.30366,0.01
11063,-123.60583,42.12667,1.75
8626,-123.60583,43.15083,0.01
2082,-123.60578,42.60653,0.01
2508,-123.60576,42.10945,1.5
1852,-123.60572,43.08207,1.5
2064,-123.60558,42.10583,0.01
7151,-123.60556,46.065,0.01
558,-123.60538,42.17504,0.01
1313,-123.60537,44.00659,0.01
4296,-123.60533,42.12166,0.01
3081,-123.60533,42.13139,0.01
2263,-123.60509,42.28468,0.25
15901,-123.60483,42.27872,0.01
12056,-123.60477,45.06035,0.9
1608,-123.60476,42.2884,2.0
3838,-123.60472,42.27744,0.1
12914,-123.60472,42.93528,16436.0
7299,-123.60417,42.15694,0.1
12607,-123.604,44.8975,40.0
4850,-123.604,45.83333,0.1
11653,-123.60361,44.21472,10.0
5717,-123.60333,42.24083,0.01
8300,-123.60278,42.27,0.01
10523,-123.60278,45.08333,0.2
13279,-123.60267,44.38122,0.08
16790,-123.60262,42.1342,0.01
7237,-123.6025,42.27389,1.0
11661,-123.60222,42.77722,0.93
2409,-123.60221,43.33563,0.01
13231,-123.60172,45.03081,0.1
16466,-123.60162,42.10592,0.01
16741,-123.60144,46.16698,0.03
16193,-123.60128,45.0547,0.01
3247,-123.60103,46.16514,2.25
3998,-123.601,42.65,0.1
5811,-123.60083,42.61694,274.0
14651,-123.6008,42.32695,0.01
16763,-123.60072,45.51875,0.01
703,-123.60059,42.13461,0.01
4413,-123.6005,42.28466,0.01
2024,-123.60039,43.07075,2.25
3082,-123.60032,42.11272,0.01
9981,-123.6,44.03028,0.03
1658,-123.59976,42.27334,0.1
3883,-123.5997,42.32075,0.1
14714,-123.59946,43.47087,0.5
10768,-123.59944,42.27361,0.01
9094,-123.59861,45.86444,0.01
6823,-123.59861,45.05694,0.1
8751,-123.59861,43.00611,0.75
6114,-123.59833,45.05667,1.0
9485,-123.59833,42.28028,0.1
16678,-123.598,45.86,0.17
9040,-123.59778,42.27972,0.01
6153,-123.59778,42.14028,0.01
15152,-123.59778,42.1239,0.47
13948,-123.59777,42.2764,0.1
15208,-123.5975,43.11806,0.25
15905,-123.59722,42.32781,0.01
1878,-123.59714,44.17129,0.01
14460,-123.59705,45.05878,0.36
14429,-123.59694,43.04528,2.0
7519,-123.59667,42.27139,0.1
13973,-123.59667,42.32412,0.01
16232,-123.59664,43.90764,0.01
8756,-123.59639,42.27,0.01
2353,-123.59639,45.19512,1.0
2870,-123.59639,44.36951,0.25
7719,-123.59611,44.36556,0.01
15882,-123.59589,42.56935,0.01
7959,-123.59556,45.07528,0.5
15877,-123.59548,42.61253,0.1
1788,-123.59546,42.11286,0.25
598,-123.59531,44.39067,0.01
15041,-123.59505,42.13962,0.01
15548,-123.59483,42.32358,0.01
9362,-123.59472,42.32139,0.01
5904,-123.59389,45.55778,0.05
10904,-123.59333,42.15167,4.0
9561,-123.59306,44.09472,0.01
10548,-123.59278,42.33,0.1
6603,-123.59222,42.32944,0.01
14953,-123.59219,42.30409,0.01
9477,-123.59167,43.70778,0.25
4028,-123.59166,43.34066,1.75
17075,-123.59161,44.94462,0.45
7257,-123.59139,42.15028,6.0
12805,-123.59138,42.14964,0.25
12736,-123.59133,42.11962,0.1
5802,-123.59111,42.31417,0.75
4442,-123.591,42.65166,0.01
596,-123.59085,44.97564,0.01
748,-123.59076,43.14729,0.01
1434,-123.5907,43.07464,0.01
11734,-123.59056,42.29472,0.01
3674,-123.5902,42.27723,0.01
13128,-123.59003,44.93278,2.01
9391,-123.58972,45.86056,0.71
10547,-123.58944,43.05028,0.01
4099,-123.58916,42.58516,0.01
13246,-123.58905,42.1508,0.1
7802,-123.58889,44.37528,0.25
2984,-123.58872,45.56147,0.25
10375,-123.58861,42.28306,0.1
11991,-123.58861,43.46194,0.5
4256,-123.58833,45.59833,1.0
13361,-123.58812,44.6518,0.01
6617,-123.58778,43.04917,0.01
13656,-123.58771,46.1661,0.01
2805,-123.58755,45.81925,0.01
955,-123.58751,42.97195,0.01
16481,-123.58732,42.20518,0.01
10413,-123.58722,46.18583,0.01
7510,-123.58722,42.13111,0.01
10587,-123.58694,44.66361,1.1
8894,-123.58667,43.69333,0.25
9779,-123.58667,44.28,0.01
3669,-123.58648,44.15684,0.01
13320,-123.58647,46.171,0.1
162,-123.58629,44.17401,0.25
1150,-123.58629,42.12399,0.75
1697,-123.58619,42.13864,0.01
11183,-123.58611,46.16722,0.01
533,-123.58609,42.0911,2.0
15216,-123.58608,42.141,0.01
428,-123.58605,46.18298,0.01
8345,-123.58583,42.12222,1.0
6919,-123.58583,45.05972,0.01
4679,-123.58567,44.03983,0.5
14322,-123.58542,46.16955,0.01
5581,-123.58528,42.86583,0.01
4297,-123.58516,42.64133,0.01
4990,-123.585,43.07233,0.01
2214,-123.58485,45.86161,0.01
11462,-123.58444,45.85778,0.01
14413,-123.58428,43.35705,0.01
10181,-123.58417,42.11389,1.5
13436,-123.58382,42.26175,0.01
9802,-123.58361,42.53361,3.5
15196,-123.58351,44.21818,4.08
4870,-123.58333,42.2685,0.01
5387,-123.58333,42.1,0.1
642,-123.58331,43.19773,1.0
4117,-123.58316,44.1065,0.02
121,-123.58259,43.30644,0.75
9624,-123.5825,42.26306,0.1
16432,-123.58223,42.33758,0.01
4177,-123.5815,42.33616,0.25
5848,-123.58139,44.17694,0.25
16172,-123.58136,44.16972,0.03
9858,-123.58111,42.14639,0.1
12146,-123.58111,43.09722,0.1
13174,-123.58111,45.0775,1.5
8359,-123.58083,44.39056,0.4
300,-123.58079,42.11999,0.5
13078,-123.58065,42.13595,0.01
9851,-123.58056,42.14278,0.01
259,-123.58045,42.26589,0.01
2698,-123.58042,42.31332,0.1
16319,-123.58028,42.33,0.01
1389,-123.58023,42.35351,0.1
14691,-123.58011,42.41306,0.5
3205,-123.57988,43.09236,0.01
10863,-123.57944,42.71889,0.25
3314,-123.5793,45.84116,0.1
9438,-123.57917,44.45028,0.01
13330,-123.57917,43.27694,0.01
9189,-123.57917,43.07194,0.25
16461,-123.57912,42.33842,0.01
5834,-123.57889,42.31111,0.1
14648,-123.5788,42.15197,0.01
12738,-123.57839,45.0545,0.1
15730,-123.57838,42.57838,1.0
9831,-123.57833,42.14194,0.2
5320,-123.57833,42.22117,0.75
2073,-123.57781,43.6404,0.1
7962,-123.5775,42.15139,0.01
9336,-123.5775,45.82639,0.01
7026,-123.57722,42.33083,0.01
10160,-123.57694,44.08417,0.5
9833,-123.57667,42.14306,0.1
8817,-123.57639,45.78194,0.5
6793,-123.57639,45.21194,0.01
5817,-123.57639,44.15722,0.01
7732,-123.57639,44.04639,0.01
4108,-123.57633,42.14266,0.1
9006,-123.57611,42.25861,0.1
9971,-123.57611,42.15306,0.01
4322,-123.57583,43.01833,4.0
6713,-123.57583,42.1525,0.1
7436,-123.57583,45.08056,16.3
2601,-123.57576,42.26964,4.5
1520,-123.57569,42.12748,0.01
962,-123.57512,43.09611,0.25
16737,-123.57506,44.15739,0.01
9843,-123.575,42.14389,0.1
15258,-123.57481,45.06786,0.01
10477,-123.57472,42.26472,0.01
2032,-123.57406,44.39061,0.01
14360,-123.57403,42.12505,0.01
6589,-123.57389,42.34333,0.01
7723,-123.57389,42.12667,0.25
14987,-123.57376,42.35403,0.67
5550,-123.57367,43.642,3.0
10637,-123.57361,42.77583,0.1
3571,-123.57343,45.87499,0.01
9804,-123.57333,42.24972,0.25
4891,-123.57333,44.15783,0.01
3051,-123.57323,45.87138,0.25
14236,-123.57322,42.27388,0.1
13518,-123.57307,45.88169,0.01
8378,-123.57306,43.62972,1.0
5013,-123.57283,45.85383,0.01
11488,-123.57278,46.16917,0.01
16751,-123.57276,46.17203,0.01
5841,-123.5725,44.16694,0.1
4049,-123.57233,42.25633,0.01
6478,-123.57222,42.32222,5.5
12523,-123.57217,42.10897,0.1
13141,-123.572,46.158,37.2
10528,-123.57194,43.09361,0.1
4878,-123.57183,46.15683,0.01
7411,-123.57167,43.60278,0.01
8551,-123.57167,45.07667,0.02
4090,-123.57166,44.10866,0.1
11657,-123.57139,44.20528,5.8
11079,-123.57139,46.19417,0.01
1147,-123.57117,42.25507,0.01
5131,-123.57117,43.37333,0.1
11109,-123.57111,42.25861,0.01
7024,-123.57111,42.3425,0.01
2049,-123.57091,42.23709,0.25
12513,-123.57072,42.15528,1.0
15369,-123.57067,45.8325,0.01
16207,-123.57062,42.33985,0.5
14279,-123.57055,42.3402,0.01
3447,-123.57043,43.08494,0.01
2267,-123.57019,43.09624,0.01
8487,-123.57,43.09528,0.01
5081,-123.57,43.08167,0.01
8842,-123.57,43.35111,0.06
6495,-123.57,43.20083,0.02
14416,-123.57,43.62278,0.25
10450,-123.57,45.57083,0.0
14231,-123.56981,45.613,0.01
14835,-123.56977,42.55861,0.01
6621,-123.56944,42.25806,0.01
7579,-123.56944,42.34611,0.25
9234,-123.56944,42.3725,154.0
5814,-123.56944,42.25889,0.01
8471,-123.56917,43.09694,0.01
7020,-123.56889,43.08361,0.5
13913,-123.56872,43.0972,0.25
7417,-123.56861,42.25444,0.01
8154,-123.56861,42.25528,0.01
8598,-123.56861,42.25722,0.01
2484,-123.56856,45.8342,0.01
5389,-123.5685,43.09167,0.1
5182,-123.56833,42.25567,0.01
6646,-123.56833,42.25694,0.01
13025,-123.56806,43.09389,0.1
7317,-123.56806,45.53639,0.01
15421,-123.56806,43.07528,0.01
11286,-123.56803,45.06161,0.25
14602,-123.56794,46.16911,0.01
3105,-123.56743,43.60446,15.0
12295,-123.56733,45.88314,0.01
1412,-123.56724,43.60084,4.0
6930,-123.56722,43.44,0.01
4299,-123.56683,43.50433,0.01
14359,-123.56672,42.13987,0.1
4656,-123.56667,45.05,0.25
5360,-123.56667,43.08333,0.8
5317,-123.56667,42.25,0.01
3113,-123.56621,42.09488,0.01
7893,-123.56611,42.87361,1.98
8741,-123.56556,44.37611,0.01
10074,-123.56556,42.31694,2.0
10958,-123.56556,42.21917,0.1
1405,-123.56549,43.08508,0.5
12455,-123.56477,42.55033,0.25
13860,-123.56442,42.72338,0.37
12972,-123.56398,42.27168,0.25
8559,-123.56389,42.12944,1.0
15093,-123.56378,46.16936,0.01
17109,-123.56378,45.86695,0.15
8552,-123.56361,44.1075,4.8
10651,-123.56346,43.84677,789.0
449,-123.56329,43.3687,0.01
1203,-123.56242,45.88197,0.01
1136,-123.56242,45.88197,0.01
16619,-123.562,42.16017,0.01
848,-123.56168,44.01694,10.0
11184,-123.56167,44.375,0.01
13990,-123.56147,43.07459,6.0
3930,-123.56133,44.15783,2.0
9703,-123.56111,42.34167,5.2
10822,-123.56111,43.67861,0.25
6639,-123.56111,44.16,0.01
10036,-123.56111,45.58111,0.06
14252,-123.561,43.67747,0.01
15401,-123.561,45.86719,0.01
13861,-123.56097,42.72564,31.32
14750,-123.56088,43.39078,0.01
3092,-123.56079,42.37577,0.01
7022,-123.56056,45.17,0.01
2903,-123.5605,42.35018,0.1
1431,-123.56032,42.34656,0.01
15227,-123.56028,45.06086,0.39
13304,-123.56025,42.5396,0.1
5151,-123.55983,43.59183,0.51
10635,-123.55972,43.58972,0.1
11421,-123.55972,45.86833,0.01
4360,-123.5595,42.26883,1548.0
8524,-123.55944,45.45,0.03
1743,-123.5591,43.1061,0.01
14145,-123.55861,43.44222,0.25
12718,-123.55861,43.61111,0.5
15710,-123.55833,44.03472,0.01
5674,-123.5575,42.3725,0.1
15193,-123.55739,42.36945,0.17
9470,-123.55722,44.19944,3.5
6289,-123.55717,43.02036,0.1
6067,-123.55694,43.04083,1.5
2945,-123.55668,44.03584,0.01
14658,-123.55637,45.09671,0.0
12256,-123.55611,43.56333,62.44
15675,-123.5561,42.38572,0.01
2871,-123.55603,42.13461,0.01
5536,-123.55567,44.969,0.75
13157,-123.55567,42.25523,0.01
8153,-123.555,43.18222,0.01
16139,-123.55499,46.21972,0.09
11132,-123.55472,43.06722,3.0
4528,-123.55466,43.24033,0.01
14951,-123.55444,43.00444,0.1
9339,-123.55444,43.18194,0.01
6847,-123.55389,43.06306,0.25
16492,-123.55342,42.18798,0.1
5722,-123.55333,43.18028,0.01
6007,-123.55317,43.10433,0.01
10092,-123.55278,44.02833,0.25
2405,-123.55267,46.03266,40.0
15221,-123.55258,43.57349,0.75
2661,-123.5523,43.44173,0.25
12859,-123.55222,43.61583,0.1
11193,-123.55194,45.45333,3.44
7872,-123.55194,43.33583,0.01
16487,-123.55167,42.71833,0.01
16493,-123.5516,42.18857,0.01
7045,-123.55139,44.19278,0.01
12415,-123.55111,43.60778,1.5
13233,-123.55111,43.38083,6.8
13675,-123.55106,45.88664,0.01
15728,-123.55095,42.6548,0.01
1670,-123.55088,42.365,0.1
12957,-123.55081,45.8864,0.01
2681,-123.55032,43.06281,0.25
12338,-123.55017,42.15778,0.01
13720,-123.55008,43.11666,0.01
5355,-123.55,42.96667,0.01
4791,-123.55,45.35667,0.5
4500,-123.55,44.38333,0.25
843,-123.54996,44.44151,0.75
12173,-123.5499,44.58603,11.56
15913,-123.54972,42.13138,0.1
1701,-123.54972,44.62103,0.2
8063,-123.54917,43.53972,1.0
6632,-123.54917,42.26583,0.01
11707,-123.54917,43.61361,0.5
9678,-123.54917,43.09194,0.01
1390,-123.54903,43.10275,0.1
16938,-123.54895,44.99095,0.12
2994,-123.54882,45.59709,0.1
12829,-123.54861,43.38056,0.75
9759,-123.54861,43.26333,0.01
1118,-123.54854,42.8936,0.01
615,-123.54827,45.10005,0.25
14895,-123.54814,43.29258,0.1
9670,-123.54806,43.37611,0.1
9915,-123.54778,44.11861,0.1
16079,-123.54727,42.55275,0.01
8409,-123.54722,44.20306,0.1
1320,-123.54717,43.02429,0.1
16490,-123.54708,42.19037,1.4
4936,-123.547,44.04,0.01
16279,-123.54692,45.05663,0.1
10112,-123.54667,45.78389,18.0
13275,-123.54667,43.02417,0.5
12357,-123.54667,43.27333,0.01
13624,-123.54662,44.42078,0.01
2033,-123.54651,42.25549,0.01
6269,-123.54639,44.17806,2.0
13659,-123.54639,43.12139,0.25
11404,-123.54639,42.36444,0.01
13520,-123.54638,45.05613,0.6
17097,-123.54633,43.2595,0.01
966,-123.54628,42.26642,1.25
8959,-123.54611,42.87611,0.01
8972,-123.54611,42.8675,0.01
495,-123.54607,44.19675,0.0
1801,-123.54594,42.12765,0.5
6833,-123.54583,44.195,0.01
10959,-123.54556,43.25861,0.01
12654,-123.54528,43.26083,0.01
869,-123.54496,44.34768,2.0
5906,-123.54489,43.11511,0.1
13893,-123.54486,44.71804,0.1
15549,-123.54478,42.55742,0.01
15593,-123.54476,44.03731,1.01
10824,-123.54472,43.29222,1.5
7330,-123.54472,43.76222,0.25
3348,-123.54464,43.11374,0.2
3473,-123.54454,46.21474,0.01
15021,-123.54452,46.22333,0.8
1231,-123.54446,44.61754,0.25
6837,-123.54417,44.37083,0.01
15644,-123.54407,46.21954,0.03
1050,-123.54406,43.13459,4.5
12926,-123.54403,42.12717,0.01
12843,-123.54393,42.56593,1.0
12842,-123.54393,42.56593,13.61
782,-123.54383,44.58432,65.0
2200,-123.54376,44.39091,0.01
7975,-123.54361,43.27028,1.5
13947,-123.54337,42.25242,0.01
12930,-123.54337,42.1267,0.01
9476,-123.54333,43.23556,0.75
10293,-123.54333,43.38972,0.01
5303,-123.543,46.20283,0.01
12929,-123.54295,42.12688,0.1
15825,-123.54278,43.23889,0.01
9992,-123.54278,43.28861,0.01
14665,-123.54272,42.4871,0.01
4795,-123.5425,42.55283,0.01
1561,-123.5425,45.17464,3.5
12445,-123.5424,42.57083,0.1
9974,-123.54222,43.11056,0.5
15409,-123.54222,41.08946,152270.0
15570,-123.54213,42.20905,2.0
12841,-123.542,42.56018,22.44
15472,-123.54195,42.26813,0.01
12776,-123.54194,43.54694,0.01
4084,-123.54183,42.26783,0.01
12599,-123.54169,45.04533,0.5
4686,-123.54167,45.08367,0.5
4614,-123.54167,42.13983,4.0
4557,-123.54166,42.12433,2.0
7247,-123.54139,42.555,0.01
14422,-123.54132,46.17673,0.01
16491,-123.5413,42.19112,0.1
2253,-123.54117,42.49673,0.25
10841,-123.54111,46.05917,0.01
3769,-123.54111,42.14181,3.0
2952,-123.54108,42.29535,0.01
13894,-123.54097,42.11849,0.01
6569,-123.54083,45.38056,3.08
7445,-123.54083,42.89889,0.01
15076,-123.54063,42.76442,0.75
8968,-123.54056,42.87667,0.1
4248,-123.5405,43.025,0.01
16849,-123.5405,43.52633,1.2
4978,-123.5405,43.2565,0.01
12727,-123.54038,42.65472,2.5
7791,-123.54028,43.01944,0.01
7755,-123.54028,43.11194,0.1
16523,-123.54015,42.29514,12.5
5875,-123.54,43.00806,0.25
13241,-123.53983,43.44433,1.14
14760,-123.53973,42.5288,0.1
17002,-123.53928,42.14722,0.01
6910,-123.53917,43.38528,0.1
11057,-123.53917,43.44556,0.1
11260,-123.53917,42.89972,2.0
1806,-123.53906,44.74369,0.25
6526,-123.53889,42.36361,0.1
3493,-123.53882,42.90456,7.5
13405,-123.53863,42.11729,0.5
6281,-123.53861,45.04528,0.1
9502,-123.53861,43.27361,0.1
4135,-123.5385,43.25933,0.1
10960,-123.53833,42.14778,0.03
8225,-123.53833,42.27639,3.0
8050,-123.53833,43.38611,0.01
9420,-123.53833,42.33222,0.1
15608,-123.53813,42.20092,8.16
10022,-123.53806,43.16111,0.1
8964,-123.53778,42.87611,0.1
9473,-123.53778,44.37722,24.9
2298,-123.53777,43.02022,0.5
6371,-123.5375,42.5525,0.01
2436,-123.53717,42.99418,0.25
11733,-123.53694,42.16472,0.02
9627,-123.53694,44.42333,0.01
2413,-123.53664,45.67105,45.0
15666,-123.53662,45.09281,0.08
3352,-123.53656,42.66431,0.25
6290,-123.5365,45.0405,0.1
8957,-123.53639,42.87583,0.1
15713,-123.53639,43.02861,1.5
8969,-123.53639,42.87611,0.1
16879,-123.53625,42.16606,0.1
437,-123.53612,42.28083,0.01
4836,-123.536,44.051,0.01
3455,-123.53589,42.36502,0.1
11787,-123.53556,43.20333,0.01
4220,-123.53533,43.31833,0.1
10068,-123.53528,43.27972,0.01
8966,-123.53528,42.86722,0.01
1845,-123.53494,45.12309,0.01
1665,-123.53484,43.15861,0.01
8202,-123.53472,45.75778,0.01
7218,-123.53444,44.04972,0.01
10723,-123.53389,44.04972,0.12
11433,-123.53389,43.22083,0.5
8886,-123.53361,43.28528,0.01
2882,-123.5335,45.05617,3.0
4262,-123.53333,44.61666,0.01
14013,-123.53333,44.18333,0.25
5544,-123.53333,43.26667,0.01
10916,-123.53333,43.30833,0.75
4756,-123.53333,42.36833,0.25
8059,-123.53333,43.55,0.01
13924,-123.53329,45.04804,0.1
15128,-123.53313,43.5263,0.1
14758,-123.53313,42.52295,0.25
13284,-123.53306,44.20139,0.01
3811,-123.533,43.2922,0.01
14748,-123.53278,42.31546,0.01
9853,-123.53278,42.36583,0.01
1654,-123.53272,45.19306,0.1
1683,-123.53271,45.11425,3.0
3866,-123.53269,42.9657,0.01
11964,-123.53268,45.19006,0.02
15394,-123.5325,44.43722,2.0
10504,-123.53222,42.36611,0.1
10187,-123.53222,42.13861,0.75
12905,-123.53222,43.88611,0.45
3152,-123.53221,42.57357,0.1
16358,-123.53181,44.05331,0.5
9879,-123.53167,46.17528,0.01
3915,-123.53166,44.20066,0.3
1735,-123.53147,42.34323,0.01
8314,-123.53139,45.08194,0.01
5916,-123.53139,42.30222,0.01
14362,-123.53139,43.65306,0.01
15199,-123.53138,42.89275,3.0
16260,-123.53133,43.25733,0.01
6971,-123.53056,43.64417,0.5
16821,-123.53056,44.60944,0.01
6728,-123.53056,42.36361,0.01
6400,-123.53028,44.17056,105.0
534,-123.53008,43.16236,0.15
4327,-123.53,45.58333,0.01
15752,-123.52972,43.31139,0.01
6404,-123.52972,44.13028,60.25
10812,-123.52972,45.74694,0.3
10159,-123.52944,42.49861,0.75
11857,-123.52917,44.06,0.01
11312,-123.52917,45.87056,0.01
13256,-123.52917,43.31194,0.25
1873,-123.52908,44.00637,0.01
13147,-123.52889,44.2025,0.01
10846,-123.52861,42.72639,0.01
10847,-123.52861,42.72639,0.01
14670,-123.52858,43.31214,0.02
16732,-123.52846,42.3017,0.01
1785,-123.52792,43.25976,0.5
6008,-123.52778,42.75667,1.01
5689,-123.5275,43.25944,0.25
11316,-123.5275,44.18528,0.08
16294,-123.52744,43.20343,7.62
7751,-123.52722,42.48167,0.01
1997,-123.52717,42.60647,0.25
3216,-123.52679,42.2372,0.01
6835,-123.52667,42.91278,3.0
13877,-123.52663,46.12952,0.02
1709,-123.52659,42.16047,0.25
4153,-123.5265,42.25333,0.5
1530,-123.52649,42.20433,0.01
4665,-123.52633,44.07,0.1
15168,-123.52617,42.24417,0.08
8116,-123.52611,45.08194,0.0
908,-123.52606,42.3325,0.1
16673,-123.52597,45.05056,0.01
9797,-123.52583,42.45861,0.25
6254,-123.52583,44.80889,362.0
13685,-123.52565,44.607,0.01
4068,-123.5255,44.11,0.01
1016,-123.52536,44.02848,0.01
7607,-123.52528,46.19833,0.01
4973,-123.52517,43.24233,3.38
3794,-123.52495,43.10936,0.1
6964,-123.52472,42.27389,0.01
9283,-123.52472,43.22889,0.01
16028,-123.5245,42.54958,0.01
5195,-123.5245,43.10333,0.01
16457,-123.52446,42.48321,0.01
12195,-123.52438,42.54917,0.01
6634,-123.52417,42.54944,0.5
6721,-123.52417,43.74111,0.9
8231,-123.52417,42.24528,0.5
4156,-123.52416,46.1745,0.01
13440,-123.52395,42.54886,0.08
726,-123.52379,43.24136,1.25
11688,-123.52375,44.13625,0.1
16993,-123.5237,42.24533,0.05
11123,-123.52361,45.84361,0.01
16616,-123.52351,44.1357,0.25
15175,-123.5234,42.36265,0.01
2249,-123.52316,43.17247,1.5
14174,-123.52315,42.6587,0.1
10515,-123.52278,43.10889,0.01
12029,-123.52267,42.4269,1.0
9163,-123.5225,43.26056,0.1
8875,-123.5225,43.22861,0.25
9546,-123.5225,45.08889,0.1
3181,-123.52249,44.23726,1.0
6262,-123.52194,42.42694,0.2
3147,-123.52187,42.22574,0.01
