,Lightning Longitude,Lightning Latitude,Lightning Acres Burned
5889,-122.90811,43.29641,0.5
390,-122.90776,42.55084,0.01
5959,-122.90595,42.64878,0.25
3128,-122.90556,45.82472,0.01
4870,-122.90463,42.23773,0.01
1885,-122.90433,42.19283,0.25
5613,-122.90326,43.48038,0.01
580,-122.90237,42.18749,0.1
5302,-122.90167,42.23215,0.1
69,-122.90094,45.85738,0.01
5009,-122.90033,42.2035,1.0
1160,-122.89996,45.97666,0.01
2894,-122.89944,42.60639,0.5
5249,-122.89903,42.21493,0.1
3625,-122.89889,42.25056,0.1
4222,-122.89556,42.91583,0.01
5310,-122.89552,42.20133,0.12
5924,-122.89538,42.20543,0.25
2857,-122.89389,42.57111,0.25
568,-122.89289,42.21266,0.01
2844,-122.8925,42.57111,0.1
10,-122.89246,42.20181,0.25
5308,-122.89166,42.74385,0.5
4869,-122.89139,42.93139,0.01
5640,-122.89115,42.77467,0.1
2789,-122.89056,42.56167,0.01
5944,-122.88944,43.10694,47.48
1582,-122.88883,43.80783,0.05
5585,-122.88862,44.13747,0.01
395,-122.88787,42.20915,0.1
3909,-122.88778,42.12944,0.5
2366,-122.8875,42.12944,2.0
4729,-122.8875,42.07556,0.01
5303,-122.88701,42.73383,33.0
5251,-122.88599,42.19666,0.1
5927,-122.88488,42.20875,2.0
5981,-122.88487,42.20653,0.25
5939,-122.8845,42.19667,0.1
5958,-122.8837,42.19801,0.1
5970,-122.88329,42.20702,0.1
3835,-122.88306,42.565,0.01
2744,-122.88278,42.95083,2.0
5227,-122.88267,42.85006,0.1
5287,-122.88217,42.73633,0.5
5857,-122.8815,42.44933,0.1
4995,-122.87937,42.58653,0.5
5649,-122.87833,43.03611,0.1
382,-122.87789,42.24208,0.1
3145,-122.87472,42.6,2.5
4379,-122.8725,44.24639,0.01
4649,-122.8725,42.50611,0.21
3609,-122.87167,43.2525,0.5
5950,-122.87047,42.20272,0.1
760,-122.87046,43.74657,0.75
4409,-122.87028,43.50222,0.25
5936,-122.8696,42.55943,0.5
732,-122.86882,42.56179,1.0
2728,-122.86806,42.61278,0.75
5120,-122.86722,42.81194,0.75
5279,-122.867,42.71183,14.0
2876,-122.86639,44.41,0.01
4505,-122.86639,43.17167,0.25
4370,-122.865,43.88056,13.7
2700,-122.86472,42.98611,0.25
2702,-122.86472,42.98611,0.2
1315,-122.86423,45.99447,0.01
4055,-122.86417,43.87139,0.1
1146,-122.86383,45.90053,0.01
406,-122.86353,42.58003,0.25
940,-122.86334,42.62376,0.1
1094,-122.86224,44.31076,0.25
4288,-122.86194,42.09,0.1
2239,-122.86194,43.47194,0.01
3257,-122.86194,42.17861,11.3
5268,-122.86193,42.73268,0.25
4994,-122.86109,42.54468,0.1
4633,-122.86056,42.09972,0.1
3406,-122.86028,42.9475,0.1
5418,-122.85849,44.04191,0.1
5633,-122.85755,43.52629,0.01
4865,-122.85722,43.64361,0.1
5286,-122.8572,42.7588,0.25
5891,-122.85638,42.84115,0.1
829,-122.85636,42.75442,321.34
5928,-122.85625,42.15422,0.15
3606,-122.85583,43.02778,0.25
5915,-122.855,42.18675,0.1
2710,-122.855,42.59528,0.25
5222,-122.85463,42.09863,1099.0
4458,-122.85306,43.53139,0.1
4401,-122.85278,43.02222,0.01
5181,-122.85055,42.5822,0.1
4386,-122.85,42.59361,460.0
3136,-122.84944,42.67556,0.5
4543,-122.84944,43.94972,0.01
3948,-122.84917,42.60167,0.1
547,-122.84889,42.61991,0.25
941,-122.84859,42.58365,0.01
2778,-122.84833,42.67139,0.01
5839,-122.84833,42.62917,0.1
5826,-122.84625,44.15206,0.1
4282,-122.84417,42.17778,0.1
4405,-122.84417,43.41833,0.25
944,-122.8441,42.64914,0.01
2115,-122.84361,44.30694,0.01
4283,-122.84194,42.16667,0.1
5938,-122.84139,42.90083,277.94
5831,-122.84091,43.91403,0.1
4373,-122.84056,44.0325,0.1
5964,-122.84033,42.18617,0.01
4376,-122.84,44.03167,0.1
381,-122.8393,42.48921,0.1
278,-122.83919,42.52566,0.01
865,-122.83912,42.50016,0.01
4346,-122.83861,42.18806,0.01
5685,-122.8386,42.17883,0.1
2698,-122.8375,43.01833,0.25
5113,-122.83725,43.53972,0.4
1461,-122.83692,42.18763,0.5
4331,-122.83667,42.23528,0.01
5979,-122.83663,42.19475,0.1
744,-122.83631,43.72208,0.25
3022,-122.83611,42.61889,0.1
3601,-122.83583,42.17222,0.01
416,-122.83369,42.63085,0.75
2114,-122.83333,44.3,0.01
2473,-122.83333,42.74833,0.01
2241,-122.83306,43.43833,0.25
119,-122.83207,42.16866,0.25
5916,-122.83187,42.25628,0.1
5392,-122.8318,43.62706,0.01
6043,-122.83158,42.24662,0.01
5028,-122.83083,43.31056,57.16
5932,-122.83078,42.7225,0.25
5566,-122.83013,42.1665,0.1
1182,-122.82707,42.16514,0.1
4403,-122.82583,43.15806,0.5
4402,-122.82583,43.15806,0.5
5247,-122.82528,42.83944,0.1
2231,-122.82517,43.41,0.01
1176,-122.82364,42.25303,0.01
4238,-122.82278,42.79278,0.33
2618,-122.82278,42.71361,1.0
2214,-122.8225,43.37317,0.25
1068,-122.82221,42.16524,0.1
4297,-122.82194,42.19944,0.3
4194,-122.82083,42.25306,0.01
5097,-122.81889,42.55667,0.25
1863,-122.81867,42.73183,0.25
5015,-122.8175,42.84778,6.5
5974,-122.81654,42.79442,1.0
3703,-122.81611,42.94222,16210.8
1598,-122.81516,42.72016,0.01
4408,-122.81417,42.34278,0.01
5998,-122.81139,42.96361,791.14
5232,-122.81062,42.82684,118.0
4284,-122.81028,42.70556,5.0
5929,-122.80905,42.70742,17.0
287,-122.80899,42.1077,0.25
2855,-122.80889,42.59528,0.25
5971,-122.80803,42.18038,0.1
5593,-122.80747,42.96413,1.0
1173,-122.80473,42.63087,0.01
2866,-122.80472,43.55917,0.01
4285,-122.80472,42.695,4.0
2206,-122.8045,43.50233,0.01
2771,-122.80444,42.77028,0.01
1691,-122.804,44.201,0.01
3007,-122.80389,42.7575,0.1
1067,-122.80307,42.15814,0.01
5595,-122.80167,42.965,0.1
2706,-122.79944,43.50528,3.0
4664,-122.79611,43.40611,0.1
2174,-122.79528,42.515,2.0
2967,-122.79528,42.96639,0.25
4665,-122.79306,43.40611,0.01
5291,-122.79256,42.80658,0.1
2708,-122.79222,43.45306,3.4
1616,-122.7915,44.47666,0.01
622,-122.79137,43.81423,0.1
2245,-122.79111,43.48722,0.2
5020,-122.79012,42.62013,0.1
4670,-122.78944,42.69667,0.1
4281,-122.78889,42.10083,2.0
2707,-122.78889,43.49833,3.0
2704,-122.7875,43.51833,0.01
2969,-122.78694,42.37111,0.6
4658,-122.78694,42.17583,0.1
4377,-122.78333,44.12833,4.85
5829,-122.78222,43.48028,0.25
4418,-122.78194,43.53528,0.1
4292,-122.78111,42.15944,0.1
393,-122.78016,42.57632,0.01
4655,-122.77861,42.41417,0.5
2230,-122.77806,43.41306,0.01
2233,-122.77778,43.45694,0.1
544,-122.77758,43.25771,0.25
545,-122.77746,43.27228,0.5
1873,-122.77733,42.56833,6.2
579,-122.77652,43.72229,0.25
5213,-122.77628,42.29571,0.1
557,-122.77449,42.33229,0.01
792,-122.77409,42.15804,0.5
5163,-122.774,42.69722,5.5
1859,-122.77317,42.73283,2.0
752,-122.7729,42.82049,104.0
753,-122.7729,42.82049,27111.0
4049,-122.77278,43.43028,0.1
2697,-122.77278,43.455,2.0
2786,-122.77278,42.65222,0.01
6083,-122.77097,42.46933,0.01
4997,-122.77073,42.61605,0.1
5006,-122.77012,42.65133,0.01
4887,-122.76982,42.20925,0.1
809,-122.76978,42.68423,34.4
1075,-122.7694,42.17632,0.01
850,-122.76818,42.80698,0.25
5167,-122.767,42.6458,0.01
5212,-122.767,42.18272,0.01
594,-122.76603,43.83223,0.1
5265,-122.76558,42.79108,0.25
2692,-122.76556,43.45833,11.0
2518,-122.76528,44.39417,0.01
1464,-122.76467,42.18004,0.1
4323,-122.76444,42.29028,0.01
3624,-122.76417,42.31222,0.01
5412,-122.76356,43.67667,0.1
2721,-122.76333,42.62028,8.5
2705,-122.76194,43.49917,1.5
2471,-122.76167,42.69556,2.0
2703,-122.76167,43.49361,0.1
5257,-122.76134,42.18855,0.01
5160,-122.76111,42.62278,0.1
3141,-122.76056,42.6925,2.0
584,-122.76013,42.31093,0.01
3140,-122.76,42.6925,42.0
1436,-122.75963,42.16196,0.75
3628,-122.75944,42.68833,0.01
1847,-122.75833,42.5145,0.25
549,-122.75773,42.75254,3.5
5027,-122.7575,43.20833,10.0
4051,-122.75722,42.51917,0.1
5281,-122.75677,42.77675,0.5
846,-122.75517,42.44173,50.0
2742,-122.755,42.65278,0.5
3851,-122.75389,43.6875,0.1
4324,-122.75389,42.28611,0.01
3147,-122.75167,42.60167,0.1
3149,-122.75056,42.62056,6.13
776,-122.75022,42.52576,0.25
3301,-122.75,43.86667,0.1
3137,-122.74944,42.60861,0.01
4452,-122.74889,43.45583,0.01
5019,-122.74837,42.76675,1.0
1302,-122.74742,43.90471,0.01
5285,-122.74712,42.77812,0.01
602,-122.74648,43.61112,0.1
609,-122.74648,43.66068,0.1
553,-122.74648,43.66068,0.1
5278,-122.74628,42.78328,0.25
3778,-122.74611,42.76722,0.25
793,-122.74553,42.26735,5.0
5237,-122.74495,42.78223,0.1
2232,-122.74333,43.40639,0.01
3596,-122.74278,42.69083,0.25
4176,-122.74111,42.37917,0.01
555,-122.74096,42.54768,0.01
5280,-122.73774,42.79509,0.1
855,-122.73536,42.17257,0.5
4190,-122.73528,42.44806,0.01
5255,-122.73517,42.518,121.0
2094,-122.7325,42.58583,0.25
635,-122.73242,43.99112,0.25
4335,-122.73167,42.29472,0.01
4286,-122.73167,42.785,0.25
805,-122.73107,42.39814,0.25
842,-122.73107,42.39814,0.5
754,-122.73055,42.19441,0.25
3138,-122.72944,42.55944,2.0
4087,-122.72917,44.10917,0.12
4877,-122.72667,42.35633,3.4
890,-122.72622,44.37597,0.01
779,-122.72617,42.35785,0.25
6252,-122.72552,44.64176,0.6
3876,-122.72361,42.75667,0.01
6051,-122.72288,42.25797,0.01
165,-122.72116,42.35433,0.1
2171,-122.71972,42.49917,0.1
2301,-122.71778,43.47361,0.25
2877,-122.71667,44.60861,0.1
948,-122.71562,44.53998,0.01
3061,-122.71556,42.75194,1.0
946,-122.71522,42.63765,0.01
3594,-122.71417,42.69056,5.68
5718,-122.71367,42.5145,761.0
5892,-122.71349,43.47893,50409.0
1514,-122.71316,44.81698,0.5
2695,-122.71278,42.62083,0.1
5250,-122.71048,42.84633,25901.0
4434,-122.71028,42.74583,0.24
945,-122.71026,42.62348,0.01
785,-122.71025,42.65245,0.25
3595,-122.70417,42.68361,1.6
3849,-122.70306,44.15278,2.8
4436,-122.70028,43.47917,0.01
4437,-122.70028,43.47917,0.01
4460,-122.69806,42.29556,0.01
2373,-122.69778,42.23444,2.0
6052,-122.69732,42.48787,0.1
2667,-122.69667,42.73861,0.5
2184,-122.69667,42.51806,0.1
2660,-122.69556,44.96639,5.0
3320,-122.69472,42.36861,0.01
2754,-122.69278,42.52778,0.5
2694,-122.69167,42.54167,0.5
2720,-122.69139,42.54194,0.1
1940,-122.69083,42.54217,0.01
4075,-122.69056,42.53139,0.1
5014,-122.69042,42.75522,0.1
5283,-122.68802,42.82817,12.0
815,-122.687,42.41642,0.01
569,-122.68512,44.61519,0.01
4241,-122.68472,42.14917,0.1
1942,-122.68467,43.73617,25.0
561,-122.68459,42.71396,0.01
5834,-122.68437,42.65595,0.25
4174,-122.68417,42.34167,0.01
3275,-122.6825,43.95083,0.25
801,-122.68208,42.32923,0.25
1617,-122.68166,43.41833,0.1
4380,-122.68111,43.94,0.1
2785,-122.68083,42.51778,1.0
2693,-122.68,42.47278,0.5
3290,-122.67833,43.95194,0.25
2839,-122.67694,42.60222,0.75
12,-122.67629,42.54339,0.25
4901,-122.67567,42.48083,0.25
949,-122.67541,44.51103,0.1
2207,-122.67444,42.21639,0.01
4058,-122.67389,42.50556,0.01
2696,-122.67333,42.41056,2.25
3464,-122.6725,43.95417,0.1
14,-122.67223,42.39808,0.01
4193,-122.67222,42.27194,0.01
5116,-122.67078,42.35192,2.9
5517,-122.67072,42.70038,0.1
2875,-122.66944,42.31583,0.1
3782,-122.66889,42.68389,0.1
4814,-122.66861,42.76694,0.1
3252,-122.66778,42.1575,0.01
3982,-122.66667,43.68306,0.1
5697,-122.66572,42.49728,0.3
4177,-122.66556,42.25222,0.01
2814,-122.66361,42.55472,1.5
3988,-122.66361,43.59,0.1
4447,-122.66194,42.80361,0.14
4443,-122.66056,42.80389,0.01
3269,-122.65972,43.8875,0.01
2709,-122.65889,42.41,0.1
5864,-122.65708,42.76383,0.25
1070,-122.65643,42.61242,0.25
839,-122.6559,42.69603,0.01
2829,-122.65583,43.99056,0.01
1311,-122.65449,44.78612,0.01
2816,-122.65444,42.54139,0.5
5545,-122.65426,43.96397,0.28
3767,-122.65389,42.81278,0.1
5000,-122.65323,42.5547,0.1
293,-122.65233,42.01336,0.01
5607,-122.6514,43.59336,0.01
4173,-122.65111,42.59361,0.1
3804,-122.65083,42.72333,0.6
1310,-122.64954,44.78984,0.01
5819,-122.64949,44.01097,0.01
3811,-122.64917,42.7975,0.25
2851,-122.64917,42.52722,0.1
565,-122.64911,44.60082,0.25
3150,-122.64861,42.46528,2.0
1177,-122.64761,42.43825,0.01
2719,-122.64639,42.59806,0.25
5476,-122.64483,42.03588,0.01
2783,-122.64444,42.595,0.5
5125,-122.6443,44.10119,0.1
4259,-122.64333,42.00889,0.01
1588,-122.643,44.8905,0.01
2421,-122.6425,42.34889,0.1
4996,-122.64218,42.57415,0.5
1065,-122.64195,42.60163,0.01
5039,-122.64167,42.26252,0.1
2457,-122.64139,42.59472,0.2
843,-122.64061,42.82303,2.0
3768,-122.64028,42.81306,0.25
4999,-122.63731,42.13389,0.1
583,-122.63583,42.67073,0.1
5563,-122.63547,42.26563,0.5
1291,-122.63541,42.71362,0.01
6050,-122.63484,42.07519,0.25
4656,-122.63444,42.32222,0.08
2881,-122.63389,44.00417,0.1
5550,-122.63361,42.26444,0.5
1465,-122.63257,42.39091,0.01
4061,-122.63139,42.49028,0.01
4812,-122.63111,42.6125,0.25
5054,-122.62958,42.66655,0.1
422,-122.62938,44.5868,0.1
5040,-122.62868,42.25612,2.0
3452,-122.62861,44.66889,0.2
427,-122.62802,42.13635,0.25
576,-122.62539,42.69946,0.01
5204,-122.625,44.85117,27.0
5559,-122.6245,42.10683,0.1
5042,-122.62425,42.2605,0.25
3814,-122.62417,42.65944,0.01
5025,-122.62228,42.50625,7.5
595,-122.622,42.63382,0.01
599,-122.62176,42.64878,0.01
3783,-122.62167,42.60139,0.5
642,-122.62163,42.64516,0.01
2780,-122.62083,42.51083,0.25
3777,-122.62028,42.74,0.7
3282,-122.61861,43.57333,0.1
5893,-122.61848,43.56762,0.01
428,-122.61843,42.03432,0.01
3845,-122.61833,43.57556,0.1
1284,-122.61799,42.20579,715.0
4354,-122.61722,42.08167,0.1
5029,-122.61667,43.31944,259.11
5495,-122.61611,42.60417,0.1
2774,-122.61528,43.57917,0.75
2860,-122.615,42.3525,0.01
4325,-122.61472,44.84611,0.5
5045,-122.61462,42.27115,0.01
5035,-122.61448,42.27118,0.01
5037,-122.61448,42.26117,0.1
4987,-122.61313,42.72375,587.33
4272,-122.6125,42.26972,0.01
2929,-122.61111,44.47194,0.01
3805,-122.61,42.75806,0.2
5026,-122.6091,44.10913,0.22
4371,-122.60833,44.14389,0.1
4175,-122.60778,42.55056,0.1
3771,-122.60778,42.62556,0.1
2470,-122.60722,42.58306,0.1
6047,-122.60678,42.19392,1.0
3866,-122.60583,44.45194,0.01
600,-122.60095,42.74264,0.01
3424,-122.6,43.56667,0.32
3865,-122.59972,44.17833,0.75
2838,-122.59972,42.35583,1.5
6085,-122.59958,42.6717,0.01
3433,-122.59833,44.77389,0.01
5024,-122.5979,44.10364,0.05
3776,-122.59639,42.76833,0.01
3775,-122.59556,42.58861,0.1
2422,-122.59556,42.24556,0.1
2168,-122.595,42.22722,0.1
2190,-122.59444,42.44556,0.01
5003,-122.59437,42.72842,0.2
4298,-122.59333,42.11556,0.25
6219,-122.59258,42.34767,0.1
4258,-122.59167,42.0475,1.5
3769,-122.59083,42.58139,1.0
5551,-122.59055,42.02667,0.01
2711,-122.58944,42.66694,0.25
2856,-122.58889,42.57417,0.5
2815,-122.58722,42.47639,7.7
832,-122.58682,42.80866,0.5
564,-122.58619,42.75353,0.1
1587,-122.58616,44.71916,0.2
5081,-122.585,43.3075,3.0
813,-122.58419,42.11802,0.01
272,-122.58389,42.49702,0.1
363,-122.58329,42.50758,0.25
5581,-122.5829,42.46543,0.25
3152,-122.58222,42.47,0.25
3774,-122.58222,42.60278,0.67
5858,-122.58217,42.75895,0.01
4375,-122.58167,44.11667,0.25
2533,-122.58,42.79611,0.01
4991,-122.58,42.14399,11.0
3271,-122.57806,42.54111,0.25
4709,-122.57667,42.59528,0.1
389,-122.57606,42.66959,1.0
2218,-122.57583,42.28861,0.01
5192,-122.5749,42.30025,0.1
1458,-122.57409,42.3441,0.01
4047,-122.57333,44.27333,0.1
3770,-122.5725,42.69306,0.75
4963,-122.57247,42.62125,0.1
4388,-122.57111,42.10694,0.25
4962,-122.57025,42.62288,0.01
2784,-122.57,42.65722,0.1
1218,-122.56984,42.04573,0.01
4990,-122.56933,42.69283,0.25
1016,-122.56908,42.34057,0.01
4989,-122.5686,42.69265,0.1
2172,-122.56694,42.40167,0.1
5114,-122.56607,42.62265,0.1
2513,-122.56556,42.66972,8.0
2524,-122.56556,42.80972,0.1
5674,-122.56545,42.12238,0.01
5031,-122.56539,44.07867,7.0
2818,-122.56528,42.48417,1238.5
3020,-122.56472,42.26472,1.0
4672,-122.56417,42.67056,0.01
5316,-122.56222,42.29995,0.25
366,-122.56207,42.64448,0.1
5023,-122.56093,44.00133,10514.0
3304,-122.56083,42.63944,0.25
5700,-122.5603,42.6462,0.1
1416,-122.56011,42.01876,0.75
4287,-122.56,42.2,0.01
5554,-122.56,42.51245,0.25
5129,-122.55977,42.34417,0.1
5562,-122.55958,42.51333,0.1
1901,-122.55667,44.36667,0.01
5557,-122.55655,42.50993,0.01
4786,-122.55472,44.79528,0.1
851,-122.55437,42.32602,223.66
1848,-122.55433,42.713,0.1
1862,-122.55383,42.699,0.01
1893,-122.55283,44.3715,0.01
5923,-122.55233,42.6573,0.25
4267,-122.55222,42.39639,0.25
4389,-122.55222,42.10472,0.01
4453,-122.55194,42.22333,0.01
3148,-122.55167,42.48556,0.1
2726,-122.55111,42.72639,0.01
558,-122.54988,42.11803,0.01
367,-122.54942,42.52584,0.1
4843,-122.54886,45.20497,0.25
3799,-122.54833,42.65389,0.01
6080,-122.54738,42.58262,0.25
1418,-122.54554,42.01903,0.01
5153,-122.54308,42.79508,0.25
4964,-122.54247,42.60455,0.1
6229,-122.54183,42.6423,0.1
838,-122.54174,42.68366,0.25
6228,-122.5417,42.64225,0.01
4986,-122.54097,42.82738,10.0
5044,-122.54093,44.05061,0.1
5699,-122.54033,42.64347,0.1
5122,-122.53958,42.63343,0.1
5698,-122.5395,42.64267,0.3
2817,-122.53917,42.41417,15.6
1589,-122.53866,44.80883,0.08
2712,-122.53778,42.66639,0.01
3985,-122.53722,42.66583,0.01
1577,-122.53666,42.2395,0.01
5599,-122.53655,44.39258,0.12
2758,-122.53611,42.67694,0.1
1861,-122.53583,42.70933,0.01
1408,-122.53504,42.24212,0.1
439,-122.53319,42.61555,0.5
4277,-122.53306,42.48028,0.1
5021,-122.53217,42.0125,0.1
1417,-122.53102,42.01841,0.5
1422,-122.53061,42.00674,0.25
2725,-122.52917,42.695,1.25
6078,-122.52903,42.43645,0.1
2391,-122.52833,42.10861,0.01
4992,-122.52812,42.68032,0.1
4202,-122.52806,42.4475,0.1
3457,-122.52778,42.18667,0.1
2398,-122.5275,42.3725,0.01
3377,-122.5275,42.67222,0.01
2850,-122.5275,42.69806,0.01
4433,-122.52694,42.55389,0.01
2837,-122.52639,42.69278,0.1
4980,-122.5249,42.63533,0.1
1985,-122.5245,42.75783,0.1
4813,-122.52381,42.64675,0.01
4273,-122.52361,42.45056,0.01
6081,-122.5235,42.45883,0.01
606,-122.52273,42.70874,0.01
2753,-122.5225,42.62333,0.25
3432,-122.52194,44.57167,0.25
3949,-122.52167,42.29611,0.1
3139,-122.52139,42.26472,0.01
2476,-122.52111,42.19889,0.01
300,-122.52075,42.16867,0.1
6079,-122.52053,42.457,0.1
1309,-122.51995,42.09934,0.1
5504,-122.51977,42.30596,0.01
3291,-122.51778,42.655,0.01
5060,-122.51659,44.78507,7.5
2633,-122.51611,42.28278,0.1
3766,-122.51611,42.75528,0.1
112,-122.51533,42.27838,0.25
3440,-122.51528,42.65833,0.13
5049,-122.5133,44.78746,5.2
4666,-122.51111,44.46278,0.01
291,-122.51084,42.09201,0.01
4276,-122.51083,42.49972,0.01
5050,-122.51049,44.78266,0.2
1191,-122.51033,42.07364,0.1
1754,-122.50967,45.25183,0.03
5313,-122.50967,42.20117,0.4
70,-122.50868,44.83166,0.1
4271,-122.50778,42.44833,0.01
3806,-122.50778,42.52806,1.0
1406,-122.5066,42.05164,0.1
4381,-122.50639,43.68306,0.25
1030,-122.50549,42.33354,0.01
4567,-122.50528,42.36944,9.0
6097,-122.50428,44.34814,0.1
4383,-122.50361,44.03972,0.25
4382,-122.50278,43.6725,0.25
4307,-122.50194,42.23611,0.1
589,-122.50194,42.73418,0.1
5107,-122.5018,42.50723,0.01
1919,-122.5015,44.42567,0.01
3940,-122.49917,42.505,0.1
2438,-122.49917,42.32083,0.01
5242,-122.49916,42.32162,0.1
821,-122.49534,42.20577,0.01
2491,-122.49528,45.26389,0.02
3765,-122.495,42.5675,0.01
601,-122.49267,42.55441,0.01
3155,-122.49194,42.61444,0.1
4178,-122.49167,42.08778,0.01
6053,-122.49108,42.09063,0.01
587,-122.49093,42.11467,0.01
1179,-122.49062,42.22394,0.01
2749,-122.49056,43.54444,14.5
1932,-122.48933,44.40317,0.1
3802,-122.48694,42.67556,0.1
1914,-122.48533,44.458,0.01
3050,-122.485,42.42222,0.1
1614,-122.48333,45.2,0.01
23,-122.48137,42.38353,4.0
320,-122.48123,42.22739,0.01
4998,-122.47993,42.11248,0.01
6227,-122.47697,42.27638,0.01
309,-122.47624,42.22386,0.01
717,-122.47596,42.15837,0.01
6223,-122.47412,42.32728,0.5
4680,-122.47167,43.57611,0.1
828,-122.47125,42.22033,0.01
432,-122.4712,42.25301,0.01
1463,-122.47106,42.43483,0.1
1325,-122.47104,42.0702,0.01
2722,-122.47028,43.50917,11.0
5375,-122.46947,43.51554,0.5
3983,-122.46944,42.68861,0.01
3333,-122.46889,42.07056,0.1
4915,-122.46818,43.50617,3.7
1891,-122.46733,44.65733,0.1
2187,-122.46722,42.22083,0.01
2810,-122.46667,43.48944,4.7
1136,-122.46624,42.04102,0.25
975,-122.46529,44.89136,0.01
2813,-122.46361,42.42417,26.31
4687,-122.46222,44.50778,0.01
4651,-122.46194,42.09306,0.1
1867,-122.46167,42.44433,0.01
2762,-122.46167,43.50056,1.0
1221,-122.46161,42.35451,0.1
1997,-122.46,44.58817,0.1
2484,-122.46,43.5325,0.1
3371,-122.46,42.60556,0.01
603,-122.45954,42.48067,0.1
3368,-122.45944,42.63056,0.1
3632,-122.45833,42.72556,0.1
4525,-122.45722,42.51417,0.01
2170,-122.45667,42.18639,0.01
308,-122.45658,42.22383,0.1
302,-122.45655,42.23482,0.01
3329,-122.455,44.93278,0.01
5127,-122.45444,44.54167,0.25
1950,-122.45317,44.55833,0.01
3630,-122.45278,42.70806,0.01
129,-122.45176,42.59404,0.1
3278,-122.45167,42.73694,0.25
2240,-122.45056,42.13361,0.1
1705,-122.4505,44.45383,0.01
1954,-122.45,44.59444,1.0
3092,-122.45,42.21667,0.1
3363,-122.44833,42.2025,0.01
867,-122.44793,44.59888,0.01
1187,-122.44667,42.24583,0.01
5193,-122.44325,42.42962,0.01
3373,-122.44306,42.69167,0.01
1905,-122.44283,44.33733,1.0
3863,-122.44222,42.76028,0.01
4305,-122.44,42.54583,0.5
1974,-122.43933,44.54883,0.25
1931,-122.43867,42.75467,0.01
590,-122.43728,42.7782,0.1
440,-122.43723,42.65502,0.1
542,-122.43646,42.7306,8.0
6054,-122.43538,42.03683,6.0
1975,-122.435,44.567,0.01
5189,-122.43384,42.42634,0.1
1855,-122.43333,42.78917,0.1
980,-122.43261,42.08174,0.01
1192,-122.43249,42.5606,0.01
6077,-122.43238,42.57305,0.1
1866,-122.43133,42.55833,0.01
4274,-122.43056,42.57583,0.01
1929,-122.43033,44.21717,0.25
1906,-122.43,44.5035,2.5
5067,-122.42958,42.14487,0.1
84,-122.42752,42.05949,1.0
598,-122.42733,42.25304,0.01
1466,-122.42716,42.1878,0.01
4072,-122.42667,44.73056,0.08
5485,-122.4266,42.69147,0.01
2051,-122.4265,44.50333,1070.0
4029,-122.42528,42.04944,0.01
2093,-122.42444,42.68361,0.01
5118,-122.424,42.3475,0.1
2100,-122.42278,42.74083,0.25
1024,-122.42226,42.39446,0.01
560,-122.42204,42.76041,0.01
1854,-122.42133,42.06383,0.01
4269,-122.42,42.59417,0.1
2482,-122.42,44.55583,0.01
4257,-122.41972,42.5775,27.0
3219,-122.41944,42.30833,0.3
1946,-122.41883,44.53867,0.01
1945,-122.41683,44.53533,2.0
2434,-122.41611,42.4525,0.01
1872,-122.41583,42.42433,0.01
3115,-122.41472,42.63417,0.25
3773,-122.41389,42.74528,0.25
3808,-122.41389,42.74528,0.5
72,-122.41301,44.60979,0.01
1022,-122.4101,42.02999,0.1
3966,-122.41,42.4025,0.01
4275,-122.40778,42.62194,0.1
586,-122.40773,42.30775,0.01
4988,-122.40724,42.78883,0.1
4890,-122.40508,42.39272,0.25
1918,-122.40483,44.55333,28.0
2853,-122.40472,42.60611,0.25
543,-122.40281,42.70556,0.1
1223,-122.40277,42.64443,0.1
1917,-122.40183,44.558,63.0
4679,-122.40167,42.62833,0.25
1880,-122.40117,42.63217,0.1
5011,-122.40063,42.2912,0.1
3858,-122.4,42.74944,0.1
5240,-122.39917,42.2938,0.1
5010,-122.39747,42.29372,0.1
5012,-122.39747,42.29462,0.1
4378,-122.39583,44.14861,7.0
2863,-122.39583,42.15694,0.1
2656,-122.39528,42.68694,0.1
5565,-122.39242,42.76293,0.1
1755,-122.38917,45.0385,1.5
588,-122.38902,42.75673,0.1
3253,-122.38889,42.14056,1.6
5288,-122.38865,42.28313,0.1
4263,-122.38806,42.1875,0.1
4261,-122.38806,42.19611,0.1
5489,-122.38712,42.75428,0.01
5701,-122.38676,42.00823,13.0
1026,-122.38607,42.07684,0.1
3334,-122.38111,42.22778,0.01
1726,-122.37867,42.298,0.1
4707,-122.37861,42.02778,0.75
5576,-122.37295,43.70275,0.1
3332,-122.37167,42.04972,0.2
4576,-122.37083,42.035,46.0
2181,-122.37,42.2025,0.1
5017,-122.36935,43.40873,2326.0
1745,-122.36933,44.6185,0.1
156,-122.36847,42.25668,0.25
4102,-122.36778,42.15028,0.1
5111,-122.3673,42.08845,0.25
3942,-122.36667,42.23944,0.1
5048,-122.3661,42.25572,0.1
5126,-122.36347,42.09565,0.1
4985,-122.35995,42.77403,0.0
2918,-122.35972,44.20694,0.2
2878,-122.35944,42.70694,0.1
4893,-122.35889,42.1049,0.01
4522,-122.35667,44.69861,0.03
5052,-122.35646,44.82001,0.25
4908,-122.354,42.10633,0.25
1753,-122.35367,44.59183,0.01
5894,-122.35306,44.06056,0.01
5130,-122.34833,42.02633,0.01
5188,-122.34774,44.11626,0.01
4294,-122.345,42.04778,35093.0
