,Lightning Longitude,Lightning Latitude,Lightning Acres Burned
2458,-123.69444,43.35278,0.01
100,-123.6939,42.67162,0.01
211,-123.69308,42.5368,0.01
3807,-123.69139,42.10222,0.01
3692,-123.68944,42.89806,0.75
97,-123.68899,42.67176,0.01
1109,-123.68642,44.10412,0.15
3691,-123.68611,42.85583,0.75
1159,-123.67986,43.13199,0.1
3672,-123.67972,42.90361,0.5
5586,-123.67908,42.72672,0.75
3656,-123.67528,42.84944,4.0
2865,-123.675,42.59722,0.01
216,-123.67392,42.68605,0.01
2456,-123.67194,43.41583,0.7
5536,-123.67151,44.10051,0.01
5206,-123.67084,42.3676,3965.0
213,-123.66889,42.56663,0.01
4909,-123.66678,42.67713,0.25
3860,-123.66583,42.71972,0.5
4906,-123.66433,42.6647,2.0
5920,-123.66317,45.70722,0.1
3993,-123.66,42.22833,0.6
230,-123.65967,43.11381,0.3
224,-123.65907,42.58083,0.01
1607,-123.6575,43.34116,0.01
6139,-123.65653,42.70502,0.75
228,-123.65469,42.57755,0.1
5156,-123.65417,44.11222,0.01
3696,-123.65389,42.86861,9.0
2193,-123.65361,42.37917,0.25
5815,-123.65353,43.57162,0.1
3559,-123.65333,43.49861,0.01
3612,-123.65194,42.58028,1.0
5635,-123.65183,42.68083,0.33
2185,-123.65167,42.38028,0.1
763,-123.65129,43.39777,1.0
6170,-123.65117,42.76033,0.1
3991,-123.64889,42.27028,0.1
4903,-123.6482,42.66255,2.0
281,-123.6477,43.24188,0.01
2196,-123.64389,42.22972,0.01
4764,-123.64361,44.26694,2.62
3677,-123.64083,42.92889,0.25
5583,-123.6395,42.72909,0.01
1276,-123.63532,42.07997,1.0
2461,-123.63528,43.41861,0.01
3607,-123.63528,42.58889,2.5
231,-123.63474,42.57043,0.01
3665,-123.63194,42.73222,122.4
1314,-123.63183,44.84779,43.0
6156,-123.63139,42.64056,21347.0
6177,-123.63,42.81267,4.3
2475,-123.62778,42.58222,0.1
6041,-123.62546,46.07582,0.01
1211,-123.62516,42.5884,0.01
3854,-123.62194,42.95278,0.1
3853,-123.62056,42.96222,0.1
3852,-123.62056,42.9525,0.1
5244,-123.6205,42.31067,0.01
1756,-123.62,43.02667,0.01
106,-123.61992,42.62412,0.01
3629,-123.61889,42.60667,0.25
1620,-123.61666,44.38333,0.01
2779,-123.61639,43.58028,0.1
1298,-123.61521,42.05811,0.01
3686,-123.615,42.86444,1.0
419,-123.61491,42.26252,0.01
2451,-123.61472,42.28111,0.01
3687,-123.61389,42.86806,10.0
1130,-123.61162,44.07171,0.15
2888,-123.61139,42.88833,0.25
741,-123.61059,43.13258,2.0
95,-123.61031,42.61359,0.1
778,-123.61029,43.07469,0.1
4721,-123.61028,42.04139,0.01
6172,-123.60983,43.26583,4.85
3685,-123.60917,42.86444,1.0
232,-123.60727,43.38048,0.01
318,-123.6057,42.64658,0.1
4537,-123.60472,43.05556,0.1
3679,-123.60306,42.85111,0.5
6009,-123.60288,43.40117,0.25
2452,-123.60194,42.3,4.5
2811,-123.60056,43.26917,0.01
4807,-123.6,42.07833,2.5
